Nombre              Tipo                Valor               Longitud            Token               
_5                  CTE_INTEGER         5                   1                   INT_NUM             
_7                  CTE_INTEGER         7                   1                   INT_NUM             
_7                  CTE_INTEGER         7                   1                   INT_NUM             
_8                  CTE_INTEGER         8                   1                   INT_NUM             
_2                  CTE_INTEGER         2                   1                   INT_NUM             
_7                  CTE_INTEGER         7                   1                   INT_NUM             
_1                  CTE_INTEGER         1                   1                   INT_NUM             
_6                  CTE_INTEGER         6                   1                   INT_NUM             
_7                  CTE_INTEGER         7                   1                   INT_NUM             
_8                  CTE_INTEGER         8                   1                   INT_NUM             
_5                  CTE_INTEGER         5                   1                   INT_NUM             
_7                  CTE_INTEGER         7                   1                   INT_NUM             
_2                  CTE_INTEGER         2                   1                   INT_NUM             
